HUC4,HUC2,River,Lake
0101,01,2410.14,647.8718
0102,01,2410.14,647.8718
0103,01,2410.14,647.8718
0104,01,2410.14,647.8718
0105,01,2410.14,647.8718
0106,01,2410.14,647.8718
0107,01,2410.14,647.8718
0108,01,2410.14,647.8718
0109,01,2410.14,647.8718
0110,01,2410.14,647.8718
0202,02,2040.395,485.5862
0203,02,2040.395,485.5862
0204,02,2040.395,485.5862
0205,02,2040.395,485.5862
0206,02,2040.395,485.5862
0207,02,2040.395,485.5862
0208,02,2040.395,485.5862
0301,03,3083.611,708.1014
0302,03,3083.611,708.1014
0303,03,3083.611,708.1014
0304,03,3083.611,708.1014
0305,03,3083.611,708.1014
0306,03,3083.611,708.1014
0307,03,3083.611,708.1014
0308,03,3083.611,708.1014
0309,03,3083.611,708.1014
0310,03,3083.611,708.1014
0311,03,3083.611,708.1014
0312,03,3083.611,708.1014
0313,03,3083.611,708.1014
0314,03,3083.611,708.1014
0315,03,3083.611,708.1014
0316,03,3083.611,708.1014
0317,03,3083.611,708.1014
0318,03,3083.611,708.1014
0401,04,1770.78,376.054
0402,04,1770.78,376.054
0403,04,1770.78,376.054
0404,04,1770.78,376.054
0405,04,1770.78,376.054
0406,04,1770.78,376.054
0407,04,1770.78,376.054
0408,04,1770.78,376.054
0409,04,1770.78,376.054
0410,04,1770.78,376.054
0411,04,1770.78,376.054
0412,04,1770.78,376.054
0413,04,1770.78,376.054
0414,04,1770.78,376.054
0415,04,1770.78,376.054
0416,04,1770.78,376.054
0417,04,1770.78,376.054
0418,04,1770.78,376.054
0419,04,1770.78,376.054
0420,04,1770.78,376.054
0421,04,1770.78,376.054
0422,04,1770.78,376.054
0423,04,1770.78,376.054
0424,04,1770.78,376.054
0425,04,1770.78,376.054
0426,04,1770.78,376.054
0427,04,1770.78,376.054
0428,04,1770.78,376.054
0429,04,1770.78,376.054
0430,04,1770.78,376.054
0431,04,1770.78,376.054
0432,04,1770.78,376.054
0433,04,1770.78,376.054
0418i,04,1770.78,376.054
0419i,04,1770.78,376.054
0424i,04,1770.78,376.054
0426i,04,1770.78,376.054
0428i,04,1770.78,376.054
0501,05,1935.364,521.1003
0502,05,1935.364,521.1003
0503,05,1935.364,521.1003
0504,05,1935.364,521.1003
0505,05,1935.364,521.1003
0506,05,1935.364,521.1003
0507,05,1935.364,521.1003
0508,05,1935.364,521.1003
0509,05,1935.364,521.1003
0510,05,1935.364,521.1003
0511,05,1935.364,521.1003
0512,05,1935.364,521.1003
0513,05,1935.364,521.1003
0514,05,1935.364,521.1003
0601,06,1629.161,782.8543
0602,06,1629.161,782.8543
0603,06,1629.161,782.8543
0604,06,1629.161,782.8543
0701,07,1788.264,489.4992
0702,07,1788.264,489.4992
0703,07,1788.264,489.4992
0704,07,1788.264,489.4992
0705,07,1788.264,489.4992
0706,07,1788.264,489.4992
0707,07,1788.264,489.4992
0708,07,1788.264,489.4992
0709,07,1788.264,489.4992
0710,07,1788.264,489.4992
0711,07,1788.264,489.4992
0712,07,1788.264,489.4992
0713,07,1788.264,489.4992
0714,07,1788.264,489.4992
0801,08,2586.863,756.8631
0802,08,2586.863,756.8631
0803,08,2586.863,756.8631
0804,08,2586.863,756.8631
0805,08,2586.863,756.8631
0806,08,2586.863,756.8631
0807,08,2586.863,756.8631
0808,08,2586.863,756.8631
0809,08,2586.863,756.8631
0901,09,1681.219,733.9447
0902,09,1681.219,733.9447
0903,09,1681.219,733.9447
0904,09,1681.219,733.9447
1002,10,1345.39,485.593
1003,10,1345.39,485.593
1004,10,1345.39,485.593
1005,10,1345.39,485.593
1006,10,1345.39,485.593
1007,10,1345.39,485.593
1008,10,1345.39,485.593
1009,10,1345.39,485.593
1010,10,1345.39,485.593
1011,10,1345.39,485.593
1012,10,1345.39,485.593
1013,10,1345.39,485.593
1014,10,1345.39,485.593
1015,10,1345.39,485.593
1016,10,1345.39,485.593
1017,10,1345.39,485.593
1018,10,1345.39,485.593
1019,10,1345.39,485.593
1020,10,1345.39,485.593
1021,10,1345.39,485.593
1022,10,1345.39,485.593
1023,10,1345.39,485.593
1024,10,1345.39,485.593
1025,10,1345.39,485.593
1026,10,1345.39,485.593
1027,10,1345.39,485.593
1028,10,1345.39,485.593
1029,10,1345.39,485.593
1030,10,1345.39,485.593
1101,11,1590.207,735.7762
1102,11,1590.207,735.7762
1103,11,1590.207,735.7762
1104,11,1590.207,735.7762
1105,11,1590.207,735.7762
1106,11,1590.207,735.7762
1107,11,1590.207,735.7762
1108,11,1590.207,735.7762
1109,11,1590.207,735.7762
1110,11,1590.207,735.7762
1111,11,1590.207,735.7762
1112,11,1590.207,735.7762
1113,11,1590.207,735.7762
1114,11,1590.207,735.7762
1201,12,2360.826,489.5988
1202,12,2360.826,489.5988
1203,12,2360.826,489.5988
1204,12,2360.826,489.5988
1205,12,2360.826,489.5988
1206,12,2360.826,489.5988
1207,12,2360.826,489.5988
1208,12,2360.826,489.5988
1209,12,2360.826,489.5988
1210,12,2360.826,489.5988
1211,12,2360.826,489.5988
1301,13,1482.597,562.677
1302,13,1482.597,562.677
1303,13,1482.597,562.677
1304,13,1482.597,562.677
1305,13,1482.597,562.677
1306,13,1482.597,562.677
1307,13,1482.597,562.677
1308,13,1482.597,562.677
1309,13,1482.597,562.677
1401,14,1019.747,452.3377
1402,14,1019.747,452.3377
1403,14,1019.747,452.3377
1404,14,1019.747,452.3377
1405,14,1019.747,452.3377
1406,14,1019.747,452.3377
1407,14,1019.747,452.3377
1408,14,1019.747,452.3377
1501,15,1532.911,566.0673
1502,15,1532.911,566.0673
1503,15,1532.911,566.0673
1504,15,1532.911,566.0673
1505,15,1532.911,566.0673
1506,15,1532.911,566.0673
1507,15,1532.911,566.0673
1508,15,1532.911,566.0673
1601,16,1121.486,340
1602,16,1121.486,340
1603,16,1121.486,340
1604,16,1121.486,340
1605,16,1121.486,340
1606,16,1121.486,340
1701,17,927.905,613.6377
1702,17,927.905,613.6377
1703,17,927.905,613.6377
1704,17,927.905,613.6377
1705,17,927.905,613.6377
1706,17,927.905,613.6377
1707,17,927.905,613.6377
1708,17,927.905,613.6377
1709,17,927.905,613.6377
1710,17,927.905,613.6377
1711,17,927.905,613.6377
1712,17,927.905,613.6377
1801,18,1344.971,700.6948
1802,18,1344.971,700.6948
1803,18,1344.971,700.6948
1804,18,1344.971,700.6948
1805,18,1344.971,700.6948
1806,18,1344.971,700.6948
1807,18,1344.971,700.6948
1808,18,1344.971,700.6948
1809,18,1344.971,700.6948
1810,18,1344.971,700.6948
